"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 22.00,  2.58, -0.86,-65851.52
 19.00,  0.86,  2.58,-65848.75
 11.00, -0.86, -2.58,-65843.54
  1.00, -4.30, -2.58,-65845.62
 24.00,  2.58,  2.58,-65842.97
 14.00, -0.86,  2.58,-65859.08
 23.00,  2.58,  0.86,-65844.99
 21.00,  2.58, -2.58,-65854.55
 13.00, -0.86,  0.86,-65843.42
 10.00, -0.86, -4.30,-65853.10
 17.00,  0.86, -0.86,-65845.94
  6.00, -2.58, -2.58,-65849.14
  4.00, -4.30,  2.58,-65847.23
  9.00, -2.58,  2.58,-65848.93
 20.00,  2.58, -4.30,-65845.05
  5.00, -2.58, -4.30,-65843.42
 16.00,  0.86, -2.58,-65846.28
  0.00, -4.30, -4.30,-65850.60
 18.00,  0.86,  0.86,-65847.03
  8.00, -2.58,  0.86,-65850.86
  3.00, -4.30,  0.86,-65847.39
  7.00, -2.58, -0.86,-65840.25
  2.00, -4.30, -0.86,-65846.59
 12.00, -0.86, -0.86,-65844.38
 15.00,  0.86, -4.30,-65846.90
