"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.40, -2.40,-32828.57
  1.00, -2.40, -1.44,-32816.27
  2.00, -2.40, -0.48,-32814.09
  3.00, -2.40,  0.48,-32814.32
  4.00, -2.40,  1.44,-32813.31
  5.00, -1.44, -2.40,-32812.50
  6.00, -1.44, -1.44,-32812.08
  7.00, -1.44, -0.48,-32815.00
  8.00, -1.44,  0.48,-32813.47
  9.00, -1.44,  1.44,-32817.63
 10.00, -0.48, -2.40,-32823.19
 11.00, -0.48, -1.44,-32814.30
 12.00, -0.48, -0.48,-32815.48
 13.00, -0.48,  0.48,-32815.36
 14.00, -0.48,  1.44,-32821.97
 15.00,  0.48, -2.40,-32814.09
 16.00,  0.48, -1.44,-32832.38
 17.00,  0.48, -0.48,-32817.09
 18.00,  0.48,  0.48,-32823.79
 19.00,  0.48,  1.44,-32815.25
 20.00,  1.44, -2.40,-32813.80
 21.00,  1.44, -1.44,-32811.63
 22.00,  1.44, -0.48,-32812.40
 23.00,  1.44,  0.48,-32814.78
 24.00,  1.44,  1.44,-32817.15
