"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  6.00, -1.50, -1.50,-30311.22
 11.00, -0.50, -1.50,-30310.46
 14.00, -0.50,  1.50,-30310.44
  3.00, -2.50,  0.50,-30311.66
  1.00, -2.50, -1.50,-30310.68
 16.00,  0.50, -1.50,-30310.63
  9.00, -1.50,  1.50,-30310.72
  2.00, -2.50, -0.50,-30306.36
  7.00, -1.50, -0.50,-30306.24
  4.00, -2.50,  1.50,-30309.86
  0.00, -2.50, -2.50,-30310.53
  5.00, -1.50, -2.50,-30311.32
  8.00, -1.50,  0.50,-30312.72
 10.00, -0.50, -2.50,-30310.37
 15.00,  0.50, -2.50,-30311.96
 12.00, -0.50, -0.50,-30309.15
 13.00, -0.50,  0.50,-30311.21
 18.00,  0.50,  0.50,-30311.67
 17.00,  0.50, -0.50,-30312.46
 19.00,  0.50,  1.50,-30310.72
 20.00,  1.50, -2.50,-30309.49
 24.00,  1.50,  1.50,-30311.15
 22.00,  1.50, -0.50,-30312.75
 23.00,  1.50,  0.50,-30314.56
 21.00,  1.50, -1.50,-30312.23
