"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 16.00,  0.60, -1.80,-37444.85
  5.00, -1.80, -3.00,-37443.95
  0.00, -3.00, -3.00,-37443.07
  9.00, -1.80,  1.80,-37444.73
 18.00,  0.60,  0.60,-37442.09
 23.00,  1.80,  0.60,-37443.93
 14.00, -0.60,  1.80,-37444.54
 19.00,  0.60,  1.80,-37444.49
  8.00, -1.80,  0.60,-37443.65
  4.00, -3.00,  1.80,-37444.04
  2.00, -3.00, -0.60,-37445.43
 22.00,  1.80, -0.60,-37444.95
 15.00,  0.60, -3.00,-37442.05
 13.00, -0.60,  0.60,-37444.52
 24.00,  1.80,  1.80,-37442.90
 10.00, -0.60, -3.00,-37443.74
 11.00, -0.60, -1.80,-37444.39
 21.00,  1.80, -1.80,-37447.35
  6.00, -1.80, -1.80,-37441.09
  1.00, -3.00, -1.80,-37446.14
 12.00, -0.60, -0.60,-37443.43
  7.00, -1.80, -0.60,-37443.75
  3.00, -3.00,  0.60,-37444.28
 17.00,  0.60, -0.60,-37443.90
 20.00,  1.80, -3.00,-37444.84
