"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.00, -2.00,39407.62
  1.00, -2.00, -1.20,39419.46
  2.00, -2.00, -0.40,39421.79
  3.00, -2.00,  0.40,39407.99
  4.00, -2.00,  1.20,39406.20
  5.00, -1.20, -2.00,39409.30
  6.00, -1.20, -1.20,39409.67
  7.00, -1.20, -0.40,39418.96
  8.00, -1.20,  0.40,39406.77
  9.00, -1.20,  1.20,39410.04
 10.00, -0.40, -2.00,39414.75
 11.00, -0.40, -1.20,39410.17
 12.00, -0.40, -0.40,39398.53
 13.00, -0.40,  0.40,39409.19
 14.00, -0.40,  1.20,39409.69
 15.00,  0.40, -2.00,39404.55
 16.00,  0.40, -1.20,39405.45
 17.00,  0.40, -0.40,39410.22
 18.00,  0.40,  0.40,39413.00
 19.00,  0.40,  1.20,39408.41
 20.00,  1.20, -2.00,39400.74
 21.00,  1.20, -1.20,39409.03
 22.00,  1.20, -0.40,39401.92
 23.00,  1.20,  0.40,39405.14
 24.00,  1.20,  1.20,39408.84
