"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.40, -2.40,46364.97
  1.00, -2.40, -1.44,46364.04
  2.00, -2.40, -0.48,46378.46
  3.00, -2.40,  0.48,46389.71
  4.00, -2.40,  1.44,46364.94
  5.00, -1.44, -2.40,46362.81
  6.00, -1.44, -1.44,46364.78
  7.00, -1.44, -0.48,46379.33
  8.00, -1.44,  0.48,46382.07
  9.00, -1.44,  1.44,46364.55
 10.00, -0.48, -2.40,46362.83
 11.00, -0.48, -1.44,46364.86
 12.00, -0.48, -0.48,46365.03
 13.00, -0.48,  0.48,46395.63
 14.00, -0.48,  1.44,46368.61
 15.00,  0.48, -2.40,46379.37
 16.00,  0.48, -1.44,46389.73
 17.00,  0.48, -0.48,46367.29
 18.00,  0.48,  0.48,46409.77
 19.00,  0.48,  1.44,46407.62
 20.00,  1.44, -2.40,46374.39
 21.00,  1.44, -1.44,46368.46
 22.00,  1.44, -0.48,46363.62
 23.00,  1.44,  0.48,46368.99
 24.00,  1.44,  1.44,46379.97
