"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.50, -2.50,21258.10
  1.00, -2.50, -1.50,21257.92
  2.00, -2.50, -0.50,21238.45
  3.00, -2.50,  0.50,21256.10
  4.00, -2.50,  1.50,21257.41
  5.00, -1.50, -2.50,21261.52
  6.00, -1.50, -1.50,21270.34
  7.00, -1.50, -0.50,21255.89
  8.00, -1.50,  0.50,21261.36
  9.00, -1.50,  1.50,21255.56
 10.00, -0.50, -2.50,21231.18
 11.00, -0.50, -1.50,21263.48
 12.00, -0.50, -0.50,21241.33
 13.00, -0.50,  0.50,21256.06
 14.00, -0.50,  1.50,21259.09
 15.00,  0.50, -2.50,21264.68
 16.00,  0.50, -1.50,21290.99
 17.00,  0.50, -0.50,21242.66
 18.00,  0.50,  0.50,21243.04
 19.00,  0.50,  1.50,21256.97
 20.00,  1.50, -2.50,21254.87
 21.00,  1.50, -1.50,21233.98
 22.00,  1.50, -0.50,21258.60
 23.00,  1.50,  0.50,21254.00
 24.00,  1.50,  1.50,21249.19
