"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.00, -3.00,49383.89
  1.00, -3.00, -1.80,49382.14
  2.00, -3.00, -0.60,49382.95
  3.00, -3.00,  0.60,49382.68
  4.00, -3.00,  1.80,49384.00
  5.00, -1.80, -3.00,49381.09
  6.00, -1.80, -1.80,49383.12
  7.00, -1.80, -0.60,49384.18
  8.00, -1.80,  0.60,49382.73
  9.00, -1.80,  1.80,49383.80
 10.00, -0.60, -3.00,49382.12
 11.00, -0.60, -1.80,49393.72
 12.00, -0.60, -0.60,49380.79
 13.00, -0.60,  0.60,49381.76
 14.00, -0.60,  1.80,49163.15
 15.00,  0.60, -3.00,49383.82
 16.00,  0.60, -1.80,49390.15
 17.00,  0.60, -0.60,49381.94
 18.00,  0.60,  0.60,49382.62
 19.00,  0.60,  1.80,49116.48
 20.00,  1.80, -3.00,49384.39
 21.00,  1.80, -1.80,49382.60
 22.00,  1.80, -0.60,49382.44
 23.00,  1.80,  0.60,49382.05
 24.00,  1.80,  1.80,49389.33
