"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.60, -2.60,47168.42
  1.00, -2.60, -1.56,47167.05
  2.00, -2.60, -0.52,47167.08
  3.00, -2.60,  0.52,47167.56
  4.00, -2.60,  1.56,47167.50
  5.00, -1.56, -2.60,47168.36
  6.00, -1.56, -1.56,47167.13
  7.00, -1.56, -0.52,47167.27
  8.00, -1.56,  0.52,47166.26
  9.00, -1.56,  1.56,47169.84
 10.00, -0.52, -2.60,47167.50
 11.00, -0.52, -1.56,47167.68
 12.00, -0.52, -0.52,47166.72
 13.00, -0.52,  0.52,47166.58
 14.00, -0.52,  1.56,47166.90
 15.00,  0.52, -2.60,47166.75
 16.00,  0.52, -1.56,47167.17
 17.00,  0.52, -0.52,47167.47
 18.00,  0.52,  0.52,47165.44
 19.00,  0.52,  1.56,47166.90
 20.00,  1.56, -2.60,47168.13
 21.00,  1.56, -1.56,47168.20
 22.00,  1.56, -0.52,47168.48
 23.00,  1.56,  0.52,47167.31
 24.00,  1.56,  1.56,47167.82
