"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -3.50, -3.50,41635.05
  1.00, -3.50, -2.10,41634.50
  2.00, -3.50, -0.70,41639.30
  3.00, -3.50,  0.70,41633.75
  4.00, -3.50,  2.10,41635.47
  5.00, -2.10, -3.50,41635.12
  6.00, -2.10, -2.10,41634.46
  7.00, -2.10, -0.70,41650.18
  8.00, -2.10,  0.70,41673.63
  9.00, -2.10,  2.10,41635.29
 10.00, -0.70, -3.50,41633.50
 11.00, -0.70, -2.10,41635.03
 12.00, -0.70, -0.70,41642.35
 13.00, -0.70,  0.70,41640.45
 14.00, -0.70,  2.10,41635.02
 15.00,  0.70, -3.50,41634.75
 16.00,  0.70, -2.10,41633.47
 17.00,  0.70, -0.70,41643.48
 18.00,  0.70,  0.70,41658.87
 19.00,  0.70,  2.10,41637.49
 20.00,  2.10, -3.50,41634.39
 21.00,  2.10, -2.10,41635.88
 22.00,  2.10, -0.70,41634.40
 23.00,  2.10,  0.70,41634.14
 24.00,  2.10,  2.10,41633.87
