"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  8.00, -2.10,  0.70,11457.14
  1.00, -3.50, -2.10,11456.54
 17.00,  0.70, -0.70,11456.44
  7.00, -2.10, -0.70,11457.00
 22.00,  2.10, -0.70,11456.49
 21.00,  2.10, -2.10,11456.65
 14.00, -0.70,  2.10,11456.61
 13.00, -0.70,  0.70,11456.71
  6.00, -2.10, -2.10,11456.80
 15.00,  0.70, -3.50,11456.67
 16.00,  0.70, -2.10,11456.79
 18.00,  0.70,  0.70,11457.38
 19.00,  0.70,  2.10,11456.71
 24.00,  2.10,  2.10,11456.77
  0.00, -3.50, -3.50,11456.63
  5.00, -2.10, -3.50,11456.81
 20.00,  2.10, -3.50,11456.68
  9.00, -2.10,  2.10,11456.68
  2.00, -3.50, -0.70,11456.56
  3.00, -3.50,  0.70,11456.69
 23.00,  2.10,  0.70,11456.44
 10.00, -0.70, -3.50,11456.95
 11.00, -0.70, -2.10,11457.40
 12.00, -0.70, -0.70,11456.79
  4.00, -3.50,  2.10,11456.67
