"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 10.00, -0.40, -2.00,-18000.55
 15.00,  0.40, -2.00,-18001.35
 23.00,  1.20,  0.40,-17979.04
 22.00,  1.20, -0.40,-17983.15
  5.00, -1.20, -2.00,-17982.88
  3.00, -2.00,  0.40,-17984.18
  9.00, -1.20,  1.20,-17983.54
 20.00,  1.20, -2.00,-17980.73
 12.00, -0.40, -0.40,-17990.78
 18.00,  0.40,  0.40,-17979.70
  0.00, -2.00, -2.00,-17991.15
 21.00,  1.20, -1.20,-17981.81
 17.00,  0.40, -0.40,-17980.83
 11.00, -0.40, -1.20,-17977.12
  1.00, -2.00, -1.20,-17980.91
 14.00, -0.40,  1.20,-17991.08
  2.00, -2.00, -0.40,-17984.52
 24.00,  1.20,  1.20,-17977.92
  6.00, -1.20, -1.20,-17989.00
  4.00, -2.00,  1.20,-17988.60
  7.00, -1.20, -0.40,-17985.70
 16.00,  0.40, -1.20,-17991.37
 13.00, -0.40,  0.40,-17984.56
  8.00, -1.20,  0.40,-17986.31
 19.00,  0.40,  1.20,-17978.21
