"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 15.00,  0.48, -2.40,-32852.43
 19.00,  0.48,  1.44,-32852.42
 24.00,  1.44,  1.44,-32852.07
 16.00,  0.48, -1.44,-32852.34
 12.00, -0.48, -0.48,-32852.25
 18.00,  0.48,  0.48,-32851.16
  2.00, -2.40, -0.48,-32851.16
 20.00,  1.44, -2.40,-32852.30
  1.00, -2.40, -1.44,-32850.12
 10.00, -0.48, -2.40,-32850.42
 11.00, -0.48, -1.44,-32851.64
 22.00,  1.44, -0.48,-32838.59
 17.00,  0.48, -0.48,-32844.50
  6.00, -1.44, -1.44,-32845.93
  9.00, -1.44,  1.44,-32825.36
  5.00, -1.44, -2.40,-32838.05
  0.00, -2.40, -2.40,-32837.71
  4.00, -2.40,  1.44,-32826.61
 23.00,  1.44,  0.48,-32838.54
 21.00,  1.44, -1.44,-32845.71
 14.00, -0.48,  1.44,-32826.39
  3.00, -2.40,  0.48,-32832.48
  7.00, -1.44, -0.48,-32838.56
  8.00, -1.44,  0.48,-32823.86
 13.00, -0.48,  0.48,-32821.27
