"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 14.00, -0.50,  1.50,-1245.71
  4.00, -2.50,  1.50,-1245.15
  8.00, -1.50,  0.50,-1246.19
 13.00, -0.50,  0.50,-1246.30
  5.00, -1.50, -2.50,-1244.28
 17.00,  0.50, -0.50,-1245.38
 16.00,  0.50, -1.50,-1246.14
  1.00, -2.50, -1.50,-1241.21
 10.00, -0.50, -2.50,-1246.21
 15.00,  0.50, -2.50,-1245.34
  2.00, -2.50, -0.50,-1244.19
  0.00, -2.50, -2.50,-1244.59
  3.00, -2.50,  0.50,-1244.31
  7.00, -1.50, -0.50,-1240.17
 18.00,  0.50,  0.50,-1245.72
  9.00, -1.50,  1.50,-1244.69
 19.00,  0.50,  1.50,-1246.00
  6.00, -1.50, -1.50,-1243.22
 11.00, -0.50, -1.50,-1246.02
 12.00, -0.50, -0.50,-1237.63
 20.00,  1.50, -2.50,-1246.20
 23.00,  1.50,  0.50,-1245.25
 22.00,  1.50, -0.50,-1245.81
 24.00,  1.50,  1.50,-1245.70
 21.00,  1.50, -1.50,-1245.49
