"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 24.00,  1.80,  1.80,-123857.65
 19.00,  0.60,  1.80,-123857.83
 16.00,  0.60, -1.80,-123858.10
 10.00, -0.60, -3.00,-123857.03
  6.00, -1.80, -1.80,-123857.03
 22.00,  1.80, -0.60,-123857.74
 23.00,  1.80,  0.60,-123854.98
  1.00, -3.00, -1.80,-123856.90
 20.00,  1.80, -3.00,-123857.88
 12.00, -0.60, -0.60,-123858.07
 11.00, -0.60, -1.80,-123856.55
  4.00, -3.00,  1.80,-123858.08
 18.00,  0.60,  0.60,-123852.95
 13.00, -0.60,  0.60,-123844.00
  3.00, -3.00,  0.60,-123857.96
  5.00, -1.80, -3.00,-123858.76
  2.00, -3.00, -0.60,-123857.90
  9.00, -1.80,  1.80,-123847.14
 21.00,  1.80, -1.80,-123859.46
 15.00,  0.60, -3.00,-123857.51
 17.00,  0.60, -0.60,-123852.44
  0.00, -3.00, -3.00,-123857.15
  7.00, -1.80, -0.60,-123856.41
 14.00, -0.60,  1.80,-123859.69
  8.00, -1.80,  0.60,-123862.85
