"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  3.00, -2.10,  0.42,-49786.34
 19.00,  0.42,  1.26,-49785.83
 16.00,  0.42, -1.26,-49786.41
  4.00, -2.10,  1.26,-49786.07
 23.00,  1.26,  0.42,-49786.39
  0.00, -2.10, -2.10,-49786.52
  7.00, -1.26, -0.42,-49786.10
 18.00,  0.42,  0.42,-49786.38
  6.00, -1.26, -1.26,-49785.53
 21.00,  1.26, -1.26,-49786.27
 15.00,  0.42, -2.10,-49786.39
  9.00, -1.26,  1.26,-49786.34
 22.00,  1.26, -0.42,-49785.56
 14.00, -0.42,  1.26,-49785.61
 17.00,  0.42, -0.42,-49785.43
 12.00, -0.42, -0.42,-49785.90
  5.00, -1.26, -2.10,-49786.00
  8.00, -1.26,  0.42,-49786.16
 24.00,  1.26,  1.26,-49786.00
 10.00, -0.42, -2.10,-49783.85
  1.00, -2.10, -1.26,-49786.26
 11.00, -0.42, -1.26,-49784.59
 13.00, -0.42,  0.42,-49786.11
 20.00,  1.26, -2.10,-49786.06
  2.00, -2.10, -0.42,-49785.06
