"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 14.00, -0.44,  1.32,-54836.08
 21.00,  1.32, -1.32,-54835.90
 18.00,  0.44,  0.44,-54835.88
 11.00, -0.44, -1.32,-54836.27
  0.00, -2.20, -2.20,-54835.94
  3.00, -2.20,  0.44,-54836.01
  4.00, -2.20,  1.32,-54835.68
 23.00,  1.32,  0.44,-54836.07
 16.00,  0.44, -1.32,-54835.95
 15.00,  0.44, -2.20,-54836.07
 24.00,  1.32,  1.32,-54836.06
  9.00, -1.32,  1.32,-54834.51
 20.00,  1.32, -2.20,-54835.89
  7.00, -1.32, -0.44,-54835.63
  1.00, -2.20, -1.32,-54835.78
 12.00, -0.44, -0.44,-54835.75
 22.00,  1.32, -0.44,-54836.09
 17.00,  0.44, -0.44,-54836.09
 10.00, -0.44, -2.20,-54834.10
  2.00, -2.20, -0.44,-54836.20
  5.00, -1.32, -2.20,-54835.23
 19.00,  0.44,  1.32,-54835.82
  6.00, -1.32, -1.32,-54835.08
 13.00, -0.44,  0.44,-54835.24
  8.00, -1.32,  0.44,-54835.44
