"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -4.30, -4.30,-65841.88
  1.00, -4.30, -2.58,-65842.00
  2.00, -4.30, -0.86,-65837.60
  3.00, -4.30,  0.86,-65837.55
  4.00, -4.30,  2.58,-65841.80
  5.00, -2.58, -4.30,-65841.82
  6.00, -2.58, -2.58,-65841.63
  7.00, -2.58, -0.86,-65835.45
  8.00, -2.58,  0.86,-65840.65
  9.00, -2.58,  2.58,-65841.82
 10.00, -0.86, -4.30,-65841.63
 11.00, -0.86, -2.58,-65841.30
 12.00, -0.86, -0.86,-65837.26
 13.00, -0.86,  0.86,-65842.08
 14.00, -0.86,  2.58,-65842.05
 15.00,  0.86, -4.30,-65841.26
 16.00,  0.86, -2.58,-65838.19
 17.00,  0.86, -0.86,-65841.37
 18.00,  0.86,  0.86,-65841.41
 19.00,  0.86,  2.58,-65841.61
 20.00,  2.58, -4.30,-65841.69
 21.00,  2.58, -2.58,-65842.05
 22.00,  2.58, -0.86,-65841.81
 23.00,  2.58,  0.86,-65840.20
 24.00,  2.58,  2.58,-65841.11
