"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.10, -2.10,-49784.35
  1.00, -2.10, -1.26,-49782.83
  2.00, -2.10, -0.42,-49790.10
  3.00, -2.10,  0.42,-49790.29
  4.00, -2.10,  1.26,-49797.15
  5.00, -1.26, -2.10,-49787.71
  6.00, -1.26, -1.26,-49785.04
  7.00, -1.26, -0.42,-49793.34
  8.00, -1.26,  0.42,-49786.54
  9.00, -1.26,  1.26,-49784.89
 10.00, -0.42, -2.10,-49786.57
 11.00, -0.42, -1.26,-49786.66
 12.00, -0.42, -0.42,-49789.44
 13.00, -0.42,  0.42,-49784.85
 14.00, -0.42,  1.26,-49786.22
 15.00,  0.42, -2.10,-49781.23
 16.00,  0.42, -1.26,-49789.03
 17.00,  0.42, -0.42,-49784.92
 19.00,  0.42,  1.26,-49790.60
 18.00,  0.42,  0.42,-49787.11
 20.00,  1.26, -2.10,-49785.86
 21.00,  1.26, -1.26,-49797.54
 22.00,  1.26, -0.42,-49787.19
 23.00,  1.26,  0.42,-49784.91
 24.00,  1.26,  1.26,-49785.40
