"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.20, -2.20,-268747.33
  1.00, -2.20, -1.32,-268746.11
  2.00, -2.20, -0.44,-268747.77
  3.00, -2.20,  0.44,-268746.00
  4.00, -2.20,  1.32,-268748.48
  6.00, -1.32, -1.32,-268746.33
  7.00, -1.32, -0.44,-268745.74
  8.00, -1.32,  0.44,-268745.15
  9.00, -1.32,  1.32,-268747.06
 11.00, -0.44, -1.32,-268747.20
 13.00, -0.44,  0.44,-268747.53
 14.00, -0.44,  1.32,-268746.54
 15.00,  0.44, -2.20,-268746.34
 16.00,  0.44, -1.32,-268746.30
 17.00,  0.44, -0.44,-268747.20
 18.00,  0.44,  0.44,-268745.35
 19.00,  0.44,  1.32,-268746.40
 20.00,  1.32, -2.20,-268745.27
 21.00,  1.32, -1.32,-268745.32
 22.00,  1.32, -0.44,-268745.40
 23.00,  1.32,  0.44,-268747.04
 24.00,  1.32,  1.32,-268745.08
 10.00, -0.44, -2.20,-268743.61
 12.00, -0.44, -0.44,-268746.27
  5.00, -1.32, -2.20,-268748.35
