"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.20, -2.20,-159161.39
  1.00, -2.20, -1.32,-159157.78
  4.00, -2.20,  1.32,-159161.61
  2.00, -2.20, -0.44,-159157.88
  3.00, -2.20,  0.44,-159160.60
  5.00, -1.32, -2.20,-159165.80
  6.00, -1.32, -1.32,-159159.95
  7.00, -1.32, -0.44,-159156.87
  8.00, -1.32,  0.44,-159161.55
  9.00, -1.32,  1.32,-159163.43
 10.00, -0.44, -2.20,-159161.55
 11.00, -0.44, -1.32,-159166.24
 12.00, -0.44, -0.44,-159161.41
 13.00, -0.44,  0.44,-159163.03
 14.00, -0.44,  1.32,-159161.17
 15.00,  0.44, -2.20,-159159.77
 16.00,  0.44, -1.32,-159161.59
 17.00,  0.44, -0.44,-159160.56
 18.00,  0.44,  0.44,-159158.61
 19.00,  0.44,  1.32,-159158.56
 20.00,  1.32, -2.20,-159157.38
 21.00,  1.32, -1.32,-159158.46
 22.00,  1.32, -0.44,-159158.90
 23.00,  1.32,  0.44,-159161.56
 24.00,  1.32,  1.32,-159157.27
