"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  1.00, -4.30, -2.58,-365044.74
 15.00,  0.86, -4.30,-365044.78
  0.00, -4.30, -4.30,-365044.59
 18.00,  0.86,  0.86,-365044.18
  9.00, -2.58,  2.58,-365044.64
 20.00,  2.58, -4.30,-365044.56
 16.00,  0.86, -2.58,-365044.86
 21.00,  2.58, -2.58,-365044.71
 19.00,  0.86,  2.58,-365044.83
 14.00, -0.86,  2.58,-365044.75
 24.00,  2.58,  2.58,-365044.49
 17.00,  0.86, -0.86,-365044.05
 22.00,  2.58, -0.86,-365044.33
 23.00,  2.58,  0.86,-365043.61
  3.00, -4.30,  0.86,-365036.74
  4.00, -4.30,  2.58,-365040.39
  5.00, -2.58, -4.30,-365039.02
 13.00, -0.86,  0.86,-365043.74
 10.00, -0.86, -4.30,-365037.40
  7.00, -2.58, -0.86,-365033.91
  8.00, -2.58,  0.86,-365035.83
  2.00, -4.30, -0.86,-365037.73
 12.00, -0.86, -0.86,-365037.52
 11.00, -0.86, -2.58,-365032.75
  6.00, -2.58, -2.58,-365034.48
