"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.40, -2.40,-199856.35
  1.00, -2.40, -1.44,-199856.41
  2.00, -2.40, -0.48,-199933.16
  3.00, -2.40,  0.48,-199908.09
  4.00, -2.40,  1.44,-199887.16
  5.00, -1.44, -2.40,-199854.56
  6.00, -1.44, -1.44,-199845.65
  7.00, -1.44, -0.48,-199877.80
  8.00, -1.44,  0.48,-199902.71
  9.00, -1.44,  1.44,-199878.88
 10.00, -0.48, -2.40,-199933.20
 11.00, -0.48, -1.44,-199932.85
 12.00, -0.48, -0.48,-199933.07
 13.00, -0.48,  0.48,-199917.29
 14.00, -0.48,  1.44,-199868.60
 15.00,  0.48, -2.40,-199933.12
 16.00,  0.48, -1.44,-199933.06
 17.00,  0.48, -0.48,-199931.88
 18.00,  0.48,  0.48,-199932.16
 19.00,  0.48,  1.44,-199932.77
 20.00,  1.44, -2.40,-199933.06
 21.00,  1.44, -1.44,-199933.22
 22.00,  1.44, -0.48,-199918.50
 23.00,  1.44,  0.48,-199921.36
 24.00,  1.44,  1.44,-199932.94
