"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.50, -2.50,-264628.80
  1.00, -2.50, -1.50,-264628.29
  2.00, -2.50, -0.50,-264627.64
  3.00, -2.50,  0.50,-264628.25
  4.00, -2.50,  1.50,-264628.15
  5.00, -1.50, -2.50,-264628.05
  6.00, -1.50, -1.50,-264630.58
  7.00, -1.50, -0.50,-264628.44
  8.00, -1.50,  0.50,-264628.35
  9.00, -1.50,  1.50,-264629.51
 10.00, -0.50, -2.50,-264628.38
 11.00, -0.50, -1.50,-264628.31
 12.00, -0.50, -0.50,-264628.35
 13.00, -0.50,  0.50,-264627.80
 14.00, -0.50,  1.50,-264628.14
 15.00,  0.50, -2.50,-264620.40
 16.00,  0.50, -1.50,-264613.85
 17.00,  0.50, -0.50,-264628.41
 18.00,  0.50,  0.50,-264630.27
 19.00,  0.50,  1.50,-264627.90
 20.00,  1.50, -2.50,-264623.11
 21.00,  1.50, -1.50,-264628.27
 22.00,  1.50, -0.50,-264628.22
 23.00,  1.50,  0.50,-264628.72
 24.00,  1.50,  1.50,-264628.27
