"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.50, -2.50,-248112.26
  1.00, -2.50, -1.50,-248112.25
  2.00, -2.50, -0.50,-248112.14
  3.00, -2.50,  0.50,-248112.04
  4.00, -2.50,  1.50,-248112.21
  5.00, -1.50, -2.50,-248112.18
  6.00, -1.50, -1.50,-248112.15
  7.00, -1.50, -0.50,-248112.01
  8.00, -1.50,  0.50,-248112.42
  9.00, -1.50,  1.50,-248112.05
 10.00, -0.50, -2.50,-248112.35
 11.00, -0.50, -1.50,-248110.86
 12.00, -0.50, -0.50,-248112.33
 13.00, -0.50,  0.50,-248112.34
 14.00, -0.50,  1.50,-248112.48
 15.00,  0.50, -2.50,-248112.39
 16.00,  0.50, -1.50,-248111.88
 17.00,  0.50, -0.50,-248112.83
 18.00,  0.50,  0.50,-248112.21
 20.00,  1.50, -2.50,-248112.39
 21.00,  1.50, -1.50,-248112.39
 19.00,  0.50,  1.50,-248112.18
 22.00,  1.50, -0.50,-248111.29
 24.00,  1.50,  1.50,-248112.05
 23.00,  1.50,  0.50,-248111.15
