"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
 22.00,  1.44, -0.48,-173564.90
 20.00,  1.44, -2.40,-173565.16
 13.00, -0.48,  0.48,-173569.47
  9.00, -1.44,  1.44,-173569.16
 23.00,  1.44,  0.48,-173566.40
 18.00,  0.48,  0.48,-173570.62
 15.00,  0.48, -2.40,-173569.57
  7.00, -1.44, -0.48,-173570.84
 16.00,  0.48, -1.44,-173573.36
  2.00, -2.40, -0.48,-173573.89
 21.00,  1.44, -1.44,-173571.48
  5.00, -1.44, -2.40,-173565.84
  8.00, -1.44,  0.48,-173579.81
 14.00, -0.48,  1.44,-173569.05
 24.00,  1.44,  1.44,-173568.19
 10.00, -0.48, -2.40,-173573.76
  1.00, -2.40, -1.44,-173569.34
  6.00, -1.44, -1.44,-173562.58
 11.00, -0.48, -1.44,-173578.58
 17.00,  0.48, -0.48,-173580.44
 19.00,  0.48,  1.44,-173570.44
  3.00, -2.40,  0.48,-173568.50
  0.00, -2.40, -2.40,-173569.51
  4.00, -2.40,  1.44,-173565.34
 12.00, -0.48, -0.48,-173566.71
