"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.40, -2.40,-202246.01
  1.00, -2.40, -1.44,-202245.54
  2.00, -2.40, -0.48,-202244.92
  3.00, -2.40,  0.48,-202243.87
  4.00, -2.40,  1.44,-202244.64
  5.00, -1.44, -2.40,-202244.98
  6.00, -1.44, -1.44,-202244.76
  7.00, -1.44, -0.48,-202244.20
  8.00, -1.44,  0.48,-202243.86
  9.00, -1.44,  1.44,-202244.94
 10.00, -0.48, -2.40,-202245.06
 11.00, -0.48, -1.44,-202245.08
 12.00, -0.48, -0.48,-202245.67
 13.00, -0.48,  0.48,-202246.11
 14.00, -0.48,  1.44,-202245.53
 15.00,  0.48, -2.40,-202244.97
 16.00,  0.48, -1.44,-202244.37
 17.00,  0.48, -0.48,-202244.91
 18.00,  0.48,  0.48,-202244.53
 19.00,  0.48,  1.44,-202244.69
 20.00,  1.44, -2.40,-202244.97
 21.00,  1.44, -1.44,-202244.95
 22.00,  1.44, -0.48,-202244.47
 23.00,  1.44,  0.48,-202244.51
 24.00,  1.44,  1.44,-202244.77
