"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.70, -2.70,-146390.78
  1.00, -2.70, -1.62,-146390.74
  2.00, -2.70, -0.54,-146373.76
  3.00, -2.70,  0.54,-146374.84
  4.00, -2.70,  1.62,-146385.71
  5.00, -1.62, -2.70,-146390.61
  6.00, -1.62, -1.62,-146390.54
  7.00, -1.62, -0.54,-146373.68
  8.00, -1.62,  0.54,-146374.74
  9.00, -1.62,  1.62,-146390.98
 10.00, -0.54, -2.70,-146390.68
 11.00, -0.54, -1.62,-146390.63
 12.00, -0.54, -0.54,-146387.70
 13.00, -0.54,  0.54,-146386.59
 14.00, -0.54,  1.62,-146390.44
 15.00,  0.54, -2.70,-146390.65
 16.00,  0.54, -1.62,-146390.81
 17.00,  0.54, -0.54,-146390.95
 18.00,  0.54,  0.54,-146389.87
 19.00,  0.54,  1.62,-146390.68
 20.00,  1.62, -2.70,-146390.52
 21.00,  1.62, -1.62,-146390.82
 22.00,  1.62, -0.54,-146390.87
 23.00,  1.62,  0.54,-146390.71
 24.00,  1.62,  1.62,-146390.85
