"['index', 'galaxies_subhalo_mass_centre_0', 'galaxies_subhalo_mass_centre_1', 'likelihood_merit']"
  0.00, -2.50, -2.50,-255925.24
  1.00, -2.50, -1.50,-255925.21
  2.00, -2.50, -0.50,-255924.68
  3.00, -2.50,  0.50,-255925.02
  4.00, -2.50,  1.50,-255916.78
  5.00, -1.50, -2.50,-255925.12
  6.00, -1.50, -1.50,-255925.48
  7.00, -1.50, -0.50,-255919.98
  8.00, -1.50,  0.50,-255917.40
  9.00, -1.50,  1.50,-255918.56
 10.00, -0.50, -2.50,-255923.27
 11.00, -0.50, -1.50,-255922.17
 12.00, -0.50, -0.50,-255925.47
 13.00, -0.50,  0.50,-255925.34
 14.00, -0.50,  1.50,-255925.34
 15.00,  0.50, -2.50,-255925.04
 16.00,  0.50, -1.50,-255925.10
 17.00,  0.50, -0.50,-255925.63
 18.00,  0.50,  0.50,-255924.79
 19.00,  0.50,  1.50,-255925.32
 20.00,  1.50, -2.50,-255925.48
 21.00,  1.50, -1.50,-255925.57
 22.00,  1.50, -0.50,-255923.42
 23.00,  1.50,  0.50,-255923.70
 24.00,  1.50,  1.50,-255925.44
